order_id,customer_id,order_date,region,category,amount
1,101,2026-01-03,US,electronics,89.99
2,102,2026-01-03,UK,apparel,34.50
3,103,2026-01-04,USA,home,210.00
4,104,2026-01-04,Europe,electronics,499.99
5,105,2026-01-05,United States,books,12.99
6,106,2026-01-05,GB,apparel,58.20
7,107,2026-01-06,EU,home,145.00
8,108,2026-01-06,Narnia,electronics,25.00
9,109,2026-01-07,US,books,9.99
10,110,2026-01-07,UK,electronics,899.00
11,111,2026-01-08,USA,apparel,44.00
12,112,2026-01-08,Europe,home,310.50
13,113,2026-01-09,United Kingdom,books,15.75
14,114,2026-01-09,US,electronics,199.99
15,115,2026-01-10,UK,home,49.99
16,116,2026-01-10,EU,apparel,64.20
17,117,2026-01-11,USA,books,7.49
18,118,2026-01-11,US,home,275.00
19,119,2026-01-12,UK,electronics,120.00
20,120,2026-01-12,Europe,apparel,39.99
